,Comment
3114,@Codeigniter yo the 24h battery life isn't bad either xD
3115,yeah you're probably right they're probably going to release another pro lineup later this year or next year just like last time and start doubling tripling or quadrupling the prices compared to these...  and the same youtubers that were justifying buying a 5000$ m1 max just a few months ago are complaining about a 200$ price bump now
3116,Comparing a mac book to n windows laptop does not really make any sense. If you look for a macbook you want the apple OS und not windows. I also think most people who are interested in a mac book do not care about gaming performance. As a few allready said here in the comments 
3117,@PhazonBlaxor bro people are using mac for gaming
3118,"""Apple knows exactly what they are doing"" ... No shit sherlock ;),1,Coen,2022-06-09T17:14:31Z,0,,0.6833333333333332,0.1999999999999999;;"
3119,@Rocketman The lack of repairability too. You can only replace and 450 for a replacement?? Insane
3120,@girlsdrinkfeck you�re talking as if people only use laptops for gaming� what about programmers?
3121,@Pink Rose not to mention unwarranted battery expansions lol
3122,@Jenna Simms savage mode activated
3123,@girlsdrinkfeck is this copium? No Windows pc can offer the same performance or battery life capabilities of the M1 and M2 macs.
3124,We don�t game anymore
3125,@girlsdrinkfeck  bro do you even know what a laptop does? MacBooks can run computer softwares. Tablets can not. And the M1 runs them very well. I�d know because I have one. I use fusions 360 as well as a lot of 3d modeling softwares. An iPad or tablet can�t do that.
3126,"@Pink Rose There haven't been many reports of major problems with SP8. Quality control used to be a huge problem and I was well aware of that � which is why I've waited all these years before jumping in. 

And I don't know why you'd say Microsoft doesn't offer support. They have great and helpful support chat available. I tried it because at first I couldn't get 4K to work at 60hz and they were very friendly and helpful � I was able to solve the issue in the end.

The only thing I wish from the device now is a great ARM chipset (and Rosetta level emulation for things to work properly) with even slimmer form factor and passive cooling. Other than that, it's so nice using this device.,1,PhazonBlaxor,2022-06-09T15:38:19Z,0,,0.5864583333333334,0.3390625;;"
3127,@Jenna Simms well said
3128,@girlsdrinkfeck are there any laptops with that gpu which aren't 16 / 17 inches?
3129,"@girlsdrinkfeck i guarantee all of those laptops with the rtx 3050 ti are way larger and heavier than an m1 air. They have a quarter of the battery life, and can't maintain that power while on battery. 
Maybe i'm wrong tho so, which model were you thinking about ?,0,Defining Slawek,2022-06-09T15:31:11Z,7,,0.7,-0.25;;"
3130,That's also why they didn't redisign it
3131,@Switch Unboxing the m2 air is a better choice over the m2 13inch for that. 10 bit display. They both have the media engines. Thermal throttling isn't a big issue in timeline playback
3132,Yea Marques himself even talked about this in a previous video
3133,@PhazonBlaxor The problem with the surface pro line is that they�re terrible quality with terrible support. They are literally riddled with issues. My surface pro is the only device I�ve ever owned that died
3134,"the m2 mbp is the prosumer model, something between the air and pro that can better handle sustained workloads without costing $2000

it's the laptop equivalent of the ipad air,1,Ross W,2022-06-09T15:15:47Z,1,,0.5,0.5;;"
3135,Apple is really good at playing mindgames.
3136,"@StevenTo each their own. I switched from MB Pro to Surface Pro 8 recently and damn, this thing actually feels futuristic and most importantly, it WORKS. 

Apple is so far behind with MacOS, it's been a terrible user experience. Lacking a touch screen is also a huge minus for me as a photographer and graphics designer. SP8 is both slimmer and lighter than MB Air, it can function as a tablet, as a laptop and as a desktop PC. Apple isn't offering this kind of versatility at all, M1 and M2 chips are awesome for sure, but when I compare these two ultraportable computers I can't help but feel that Macbooks are kinda outdated in form and functionality.

And before you attack by the common ""Intel chips are trash"" I will say: YES! Apple silicon is better. But SP8 can handle EVERYTHING I've throw at it despite that and it offers options that Apple isn't offering. I've even tried pushing it and playing some older AAA-games. Games like MGS V runs FHD 60fps no problem for instance � kinda crazy for a computer that is even slimmer and lighter than MB Air.,1,PhazonBlaxor,2022-06-09T14:36:07Z,6,,0.6423976608187134,0.1048245614035087;;"
3137,Decoy effect
3138,@Jenna Simms Also
3139,@girlsdrinkfeck Bro
3140,It�s about testing the market for the changes. Just like they did with the pro prior.
3141,@girlsdrinkfeck then I have to use shitty windows lol so no
3142,@austen smith of course i don't expect someone who use laptop for browsing web only to understand it
3143,@Jensen Raylight world changing? Big dingus lol
3144,"The 13"" MacBook Pro only exists still because of Supply Chain issues. They have parts sitting around they have to use them. They can't get the larger MBP out in a timely fashion right now. Once we get the supply chain back to normal they will drop the 13"" MBP rather quickly.,1,Donovan Lewis,2022-06-09T13:29:14Z,4,,0.530952380952381,0.1281746031746031;;"
3145,@Joy Singh Apple silicon is not superior to Windows laptops lmao. Apple can afford to charge more because their following is not so bright
3146,@Joy Singh They charged more even when they were using thermal-throttled Intel silicon.
3147,"Hi Marques, please consider this point as well. 
Honestly there is nothing Pro about 13"" MacBook Pro. I'm utterly disappointed with apple keeping the M1 Air price same and M2 Air price way higher than expected. In India they are already too expensive and now by seeing this price I have to buy an Old M1 MacBook or stick to Windows Laptop. 
For example- $999 is ?77k actual conversion. But on apple India site it sells for ?99k ($1287). Similar with other products.
And infact an average Indian student  bought a laptop of ?50-60k ($640-780). 
That's why I am disappointed.,0,Grahit Dhamani,2022-06-09T04:00:14Z,1,0.0,0.4666666666666667,-0.11875;;"
3148,"The main difference between the Pro and the Air was hardware upgradeability.
Is the Pro still upgradable?,1,irawardmusic,2022-06-09T04:00:12Z,0,0.0,0.3333333333333333,0.1666666666666666;;"
3149,Midnight will chip off that paint just like the old iphone 5 ??
3150,At first
3151,starlight
3152,NOT STARLIGHT hahaha
3153,Get the blue one
3154,Is the m1 macbook pro still worth it?
3155,MKBHD WHY Apple Macbook is still sticking with 60hz panel. Even iPhone 13 series got higher refresh rate display. Any thoughts why?
3156,space grey
3157,"I just couldn't use anything that doesn't have a 10-key number pad. But I guess no 13.6"" computer will have that.,0,David M,2022-06-09T03:57:13Z,0,0.0,0.0,0.0;;"
3158,Buy midnight
3159,Midnight
3160,It sorta looks like the pixelbook Go Right... can no one see that?
3161,Keep it classic get the silver
3162,Yup put a notch on a laptop for no reason sure
3163,My OCD mind will never let me get one. When Sony can put a 32 mega pixel camera with 4k recording in that tiny bezel they have on their phone why can't apple. It's a much bigger company. So much for innovation. I have to stare at that notch which I'm forced to look at. ??
3164,there's a spot in one of his camera
3165,Who cares? Why do you need to pay extra for ports?
3166,A real Air is 12 inch below 900 gram.
3167,I'm going for midnight ??????
3168,"You have to understand that companies are also getting blasted daily with losses, so not dropping prices is simply the best option for them at the moment, If anything it's good and forces people to check out more 2nd hand items and create less ewaste,

I understand people might get upset at this comment, but if businesses were not profitable then who would start and run them? Food for thought.,1,Epzaqzazazazazaz,2022-06-09T03:54:06Z,0,0.0,0.3404761904761905,0.1791666666666666;;"
3169,Nice video bro ???
3170,Please raise your voice about boot camp on M1s??
3171,"�So starlight is more of a silver or more of a gold?�

Apple: YES,1,Ratana Sorn,2022-06-09T03:53:18Z,0,0.0,0.5,0.5;;"
3172,At 1199 the base model should have 512gb of storage. 256gb in 2022 is apple just milking us.
3173,Sorry
3174,the Midnight kinda looks like a Samsung Galaxy book
3175,In india they increased the M1Air price by $100 & now costs around $1250.
3176,That dust speck on the camera sensor is super annoying.
3177,That sensor dust ????
3178,No 120hz no buy
3179,It looked like it was starting to scratch around the ports
3180,Can you guys suggest me M2air or M2 pro for my aerospace undergraduate??
3181,"6:30 so, here is my problem, I was gonna go with the M1 Max 14"", but then this thing came out, and now I am wondering if it's better to get M2 Air + M1 Max Studio? I pay about 1/4 more than the M1 Max 14"", but I get 2 computers and I can travel light and handle complex AE/Video projects when I use the Studio and not worry about thermal.,1,JH K,2022-06-09T03:50:52Z,0,0.0,0.525,0.2749999999999999;;"
3182,I guess only stupid people hate fingerprints? ??
3183,U slippin dawg
3184,There is just so much competition on the chip market nowadays I love it. Felt like 2015-2020 nothing happened and now we get up to 50% more performance each generation
3185,@AndrewFacts. Maybe they arent lying and the program demands and bloat increase with equal pace. Websites dont seem to load any faster than they did 10 years ago - and often they are slower - so I think its all a bit silly. Also who gives a f about performance on a macbook air? Its not for gaming nor for editing or any other compute intensive uses. Its a glorified but well made web browser.  If you actually care about preformance you are getting a pc
3186,"""50%"". Yeah with their extremely nitpicked data, do you honestly think they make a 50% flat increase each generation. No..... Its 50% in some extremely niche task,1,Andrew,2022-06-09T05:18:56Z,4,,0.75625,0.0812499999999999;;"
3187,WTF do you mean. In 2017 AMD dropped Ryzen.
3188,Midnight please
3189,"I'll be grabbing a midnight M2 Air to replace my perfectly find 12"" Macbook as my travel macbook, but it does grind on lightroom a bit and the single port.... So maybe not perfectly fine.  I do think a 13"" and 15"" air to go along the 14"" and 16"" pro makes sense.  Maybe an 11/12"" air for the cheaper option..... or will the M2 Air drop in price when the M3 Air is released and they'll always have that cheaper air, like what they do with the iPhones.,1,Justin Watson,2022-06-09T03:49:17Z,0,0.0,0.5714285714285714,0.2400793650793651;;"
3190,is it me or does the midnight black look like a Chromebook...
3191,i would go space grey
3192,Get starlight. It would be a nice change of pace for you.
3193,Sensor cleaning time~
3194,Am here
3195,Ngl
3196,I'd prefer call that M2 MacBook Pro a MacBook SE. Btw
3197,They must have inventory of that old chassis. It�ll be dead soon.
3198,Damn�.your audio somehow sounds better than your video looks�which is beyond impressive.
3199,Midnight midnight midnight midnight midnight midnight midnight midnight midnight midnight midnight midnight
3200,starlight!!!
3201,No
3202,Why you are not making unboxing videos?
3203,get the starlight cuz other creators will get midnight. Be different from the crowd
3204,"how can you make a more than $1000 machine and not support more than one display???? They have been saying they will release the ""patch"" for over 2 years now!,1,Pulkit Madan,2022-06-09T03:45:54Z,1,0.0,0.5,0.5625;;"
3205,What? Still only 1 external display? That's a bummer.
3206,I like big bezels I cannot lie
3207,Starlight could be a good idea
3208,What's the point of buying M2 chip MacBook since you cannot really game in that. I know it's really good in editing and rendering stuff.
3209,Midnight
3210,Starlight color
3211,You know you can remove the dust in post? Kinda basic thing to do for a channel like this.
3212,The lens wasn't clear. How unprofessional was that? Good content though ????
3213,Why no one's talking about the display and the ppi
3214,space grey
3215,"Magsafe is still something I don't really like.

It's only really a benefit if you don't use peripherals.

Since a decent setup with other things is going to be best with a powered Thunderbolt dock which would also charge the device.,1,theKWOKA,2022-06-09T03:42:34Z,0,0.0,0.4569444444444444,0.2402777777777777;;"
3216,A huge notch and no Face ID.
3217,I'd put my money on a Space Grey
3218,Starlight
3219,A notch without face id is pathetic.
3220,I just can't get over the fact that they color matched the MagSafe cable for Air but not for Pro. I mean
3221,The m2 mbp broke my heart ??
3222,Put your hand up if you think the 13-inch MacBook Pro is just a placeholder. If nothing else
3223,Please get the starlight!!
3224,Midnight
3225,Apple putting the notch everywhere is getting a bit ridiculous�
3226,dont bother for this prise
3227,Space gray
3228,I won�t be happy until the illuminated Apple comes back. There�s gotta be a way to do it even without an LCD screen.
3229,You can never keep up with Apple and their products.
3230,I think the EU USB C law has got them to force out every last bit of magsafe they can the next few years
3231,wonder if the new one can still charge via USB c
3232,Finally they killed the taper
3233,Midnight
3234,Midnight bro
3235,I love the redesign I wish there were more colors (Green or Red would have been my preferences)� I think I would choose the midnight fingerprints and all
3236,As Marques mentioned
3237,Assuming they sell a bunch of these things
3238,Midnight. I have a razer so I'm used to smudges
3239,There�s a dot left side in this video blurry kinda
3240,"It doesnt make sense to me why they call it the pro when it should just be called macbook imo sense its not even a ""pro"" device like their actual macbook pros that have the high specs,1,Nuckerball,2022-06-09T03:34:38Z,0,0.0,0.3199999999999999,0.08;;"
3241,Midnight blue is sexy!
3242,Omg! fingerprints!! oh no no that�s it� I�m not going to buy it because I�m always looking on how pretty is my laptop I don�t even look at the screen I just keep admiring my MacBook Pro case and if there�s one single fingerprint it will make me sick and I can�t sleep at night. Don�t buy this fingerprint nightmare!
3243,Active cooling is not a positive feature.
3244,Starlight ..
3245,The silver is always going to be my favorite.
3246,space grey
3247,Weird how people praise Apple bringing back magsafe but most YouTubers always knock Microsoft for having the Surface Connect charging port instead of usb-c charging or Thunderbolt 4.
3248,Dafuk
3249,please go gold for the review
3250,is the new macbook air 120hz?
3251,Space gray
3252,People will buy the m2 MacBook Pro because it's called Macbook Pro.
3253,Marques
3254,If marques finds a black shade less appealing .. apple better ditch that colour ??
3255,"I believe Henery Ford said it best ""You can get whatever you want as long as its in black."",1,Jonathan Kroiss,2022-06-09T03:27:46Z,0,0.0,0.3777777777777777,0.2611111111111111;;"
3256,How can you ignore that ugly notch ??
3257,"What are your thoughts on Macbook Air M2 base model (16 GB, 512) vs Macbook Pro 14"" base model? Price diff is ~350 USD.,0,Sarmad Soomro,2022-06-09T03:27:20Z,0,0.0,1.0,-0.8;;"
3258,Midnight midnight midnight ????????????
3259,They should would have done it like 899 m1 air
3260,Midnight ??
3261,"4:44 the new MBA will be sold from next month
does that mean it will come with macos ventura installed?,0,affraidbae,2022-06-09T03:26:26Z,0,0.0,0.3806818181818182,-0.0587121212121212;;"
3262,Starlight please :)
3263,Does it have 120hz screen ?
3264,So what�s the point of the MacBook Pro at this point?
3265,Corporate buyers want the 13-inch MacBook Pro unchanged.
3266,Fungus on your camera lens ????????
3267,weird... why does the air have more ports than pro
3268,Your masks is useless as Biden lol
3269,Ugly tee..
3270,Midnight
3271,will apple bring native support for AutoCAD n Solidworks 
3272,Midnight gets my vote!
3273,A MacBook Air without the wedge shape? Apple took out the most distinctive feature and one of the USPs of this product. so much for the design language continuity with the pros. But the magsafe is a good comeback. so basically what we have for all the products out there
3274,please do midnight or starlight
3275,Midnight is the only one which is something good and new
3276,"isn't starlight just the old ""gold""?,1,Dor Zvulun,2022-06-09T03:19:09Z,0,0.0,0.2,0.1;;"
3277,Looks like MacBook Pro ?
3278,How do the speakers compare to the older design? Having the speakers inside the hinge sounds like a huge step down
3279,M2 pro 13 kinda feels like a product of rush production due to limited materials caused by slow transportation of raw materials brought by the Pandemic.
3280,Go with starlight!!
3281,"I was really hopeful for the midnight color! But it was an automatic no when you the fingerprints ?? Even when I avoid the color gray it just seems to find its way back to me.

You have to get the space gray now! Silver is trashhhhhhh,1,Mark Mendoza,2022-06-09T03:16:13Z,0,1.0,0.1,0.125;;"
3282,Any mobile developer's out there excited about the air? Drop your thoughts and opinions.
3283,What about LCD bleeding left/right of notch in fullscreen mode. Is it there or not?
3284,Well
3285,You must be crazy to clean the sensor
3286,7:02 so it won't even support 2 monitors that are 1080p with a USB hub that has 2 HDMI ports?
3287,I just took a persuasion psychology course and one of the methods we learned was called decoy pricing. A simplified example would be a small drink costing $2
3288,"I was on the fence about buying a 14"" mbp, but than i thought ""why not wait for the m2 air?!"". Now i am kinda disappointed. In Germany i can get my hands on a 14"" mbp for 2000� (2250� on apples website) and the air costs 1500� (incl. tax). Now i would love to have 512gb / 16gb, which is base for the 14"" mbp, but this bumps the price of the air to 1960�, which is basically 40� difference to the mbp, bcs that one got cheaper buying from other shops than apple.

Now the air does not even have the nice screen of the mbp, which is one of the main reasons i am even considering an apple laptop for the first time ever, the other reason being the m1. I like the new air, but the price is just stupid. So i would rather be inclined to just spend 2k instead on the mbp...,0,Maximilian Schmidt,2022-06-12T15:31:47Z,0,,0.6221212121212121,-0.0946969696969697;;"
3289,"This is fascinating. How would a company model customer behaviour internally to figure out the best pricing strategy?

Would they deduce analytically or would they run simulations or run behaviour experiments with a few test subjects?,1,VikingTheDude,2022-06-12T14:53:03Z,0,,0.3125,0.375;;"
3290,@svnbit Well we technically got 1 year of warranty where you can go to the apple store and they will replace it/repair it for free. This is not required by law but most companies do it anyway. Then we also have 2 years of implied warranty by law but that means you as a customer must prove that the defect has been present since purchase and was not caused by improper use
3291,@warpathcucucu I don't understand how you guys get 2 years manufacture warranty and we get 1. Is that reflected in the pricing? All I know is they deny claims for years here on defects up to edge of widespread class actions
3292,"Apple most likely makes more money of a $1499 Air than a $1499 Pro. One of the Pros, on his list was size/weight. The Air being smaller takes less aluminum to build and that would cut the cost. The Air also has a smaller or not as high quality battery, the higher quality or more quantity of lithium would cause the Pro to cost more to make. The cost of fans, this is probably a not as costly, but is some what costly, and also is a contributor to needing a bigger laptop which goes back to more aluminum. Marques said that he up graded the Air to make them the same price, in reality; Apple offers a version of the M2 Air for $1499 (M2 8core CPU, 10core GPU, 8gb Unified Memory (Ram), 512gb SSD storage). The M2 Pro also has an option for $1499 (M2 8core CPU, 10core GPU, 8gb Unified Memory (Ram), 512gb SSD storage). These are the exact same stats almost. The fans are going to allow better performance continually. Also the Marques has the ports as better on the M2 Air, they actually have the exact same ports, except the M2 Pro has not mag port. Also you are not getting more screen, the expansion from 13.3 to 13.6 is true but you will have a line at the top due to the cameras and sensor bar stuck in the middle. Do you really need a 1080p webcam? Do you like the Touch Bar? These are question you have to ask yourself. I can tell you that the M2 Pro is a better deal if you do light video editing or creating, you might want 16gb ram though, but you would need that upgrade on both making them the same price. Creators are not using a webcam either or the mics; although, the mics on the M2 Pro are better, they are 3 studio quality mics, the Air's 3 mics are not studio quality, or Apple would list it as such. Also the M2 Air has 4 speakers system, but the M2 Pro has Stereo Speakers with High Dynamic Rang, this is not in the description of the M2 Air. A lot of creators also like the Touch Bar, that is a personal preference. For the Money, M2 Pro is a better though.,1,Rory Russell,2022-06-11T08:20:00Z,0,,0.3821171171171171,0.2115765765765766;;"
3293,Large is never double of medium for drinks these days. At best it is 1/3 more
3294,@yginnab yeah obviously
3295,will im getting it anyway hahahaha
3296,@yginnab He sort of talked about it in the $700 mac pro wheels video
3297,I mean for students it is a great laptop
3298,Really interesting point!
3299,@Marcelo Henrique Almeida I took it in college. My professor was a very cool guy
3300,@Settiis didn�t say you need a course for it. I�ve been told marquess brownlee has also explained it in a few videos. Just mentioning where I learned it from.
3301,@Airlot No matter which way you go
3302,@Weeb Guitarist Bro you literally just explained the psychology behind it right after saying psychology doesn�t apply
3303,@Igor Kuznetsov The worlds of persuasion psych and economics collide in the field of I/O psych
3304,@lefroti 2004 yes but it works so well because it�s not very obvious to the average customer.
3305,@Hades You�re right
3306,@Brial You�re exactly right. I was going to mention anchoring as well but I blanked and couldn�t remember the term
3307,@Romulino like I�ve said to a few others
3308,@Miner 2049er Wow I actually didn�t know that. I don�t watch all his videos. I�ll check those out though
3309,@warpathcucucu Yup
3310,@Adam Frank Exactly. With such a diverse lineup
3311,what do you expect them to do? They have the most inept consumer base in the market and can sell a monitor stand for as much as iphone. Might as well exploit them if you're apple. It's like buying a computer that offers half the functionality of it's counter parts because the OS is pretty and looks better at starbucks.
3312,And the current colors are dull as hell because guess what
3313,Don't think that this would really matter if you know about computers and what you're looking for
3314,Don't need a course for that
3315,I remember going to undergrad courses and thinking I had the world figured out...
3316,apple have been the kings at employing that exact technique ever since there was choice for a device
3317,Maybe they want us to consider that
3318,@Thot Patrol that is why I alerted the police. THey are on their way.
3319,@Romulino apple silicon on the base chip sips power so it isn�t really an issue
3320,As well as the fact that real pro users often max out there device configuration anyway for horrendously stupid prices
3321,if the M2 chip can be put into previous M1 chip
3322,I think sometimes doesn't matter what psychology says. If you're someone who does lots of work on laptop and looking for a device
3323,marques did make a video about this
3324,Also called anchoring in marketing/ pricing strategy
3325,I think it comes from economics as everyone assumes utility functions (of consuming a drink) with decreasing returns to scale.
3326,Well obviously companies have done that for years
3327,they made the mbp 13 just for the fans of the stupid touch bar nothing else.
3328,@Thot Patrol war crimes are illegal too mate...but it still happens.
3329,He explained this really well in his iPad air M1 video ??
3330,"@Adam Frank Agree with this totally.  This is my thinking.  By the time you've looked at perhaps 16GB of RAM and 512GB storage, neither of which are outlandish specs, you're getting pretty close to the 14"" in price which unless you're desperate for an incredibly lightweight machine is a far more capable machine than a specced out Air.  Better processor, no throttling, better, bigger display etc.  Also likely to stay fast for longer and be worth far more for resale.  TBH, I don't stretch my 14"" but I still feel it was probably the right choice long term to swallow hard and pay the money.  Doesn't surprise me there's a two month wait for these online as for many it's the best value MacBook of all.,1,Greg Ayres,2022-06-09T09:54:09Z,5,,0.6263690476190477,0.2447023809523809;;"
3331,Every company is using this selling tactic
3332,yep it's a UX thing as well. A lot of companies are using this trick to make us buy more. Also price anchoring is used as well where they show you a bigger price at first and then a smaller one which we always tend to think it's a better deal but in fact we are paying a premium.
3333,On paper the Air is cheaper than the MBP but in the air you only get the 8 core GPU and it is a 100$ upgrade to the 10 core and the pro already has that so for the same spec they cost the same.
3334,Decoy pricing is illegal in most parts of the world. And everyone with common sense can tell anyway so I highly doubt that�s what�s happening.
3335,"In a world were thermals do not matter you would probably be correct. But there's no way an actual professional will take a fanless machine that will throttle non stop.
Marketing nonsense aside, the laws of physics still apply.,1,Romulino,2022-06-09T08:14:14Z,13,,0.1,0.05;;"
3336,Marques has made several videos about Apple doing decoy pricing.
3337,It�s not really better. If you need a MacBook for video production and content creation
3338,Exactly. Apple is smart and knows exactly what they're doing. I do that for my business. I have 3 priced items and it's designed for the customer up buy in the middle (which most people are inclined to do regardless). McDonald's invented this strategy. First one is very basic and a higher price then it's worth. Highest you get all the bells and whistles
3339,Mate the air in Europe ist �1500 and when you up it to 16gb of ram it�s 1749 or something. Might then as well pay the other 300 and get the 14� pro
3340,Yep
3341,With all the new releases and huge chip advances
3342,"I think it goes both ways. ""Might as well get the M1 Pro"" is the decision professionals will make when the M2 Air might have satisfied.,1,Adam Frank,2022-06-09T04:42:41Z,90,,1.0,0.5;;"
3343,it would have been good if they had thunderbolt port on both sides so you can charge or plug into display from any sides
3344,Blue all day long......
3345,I really like your vids.  How did I not subscribe before now?
3346,Starlight is the best for me tho I wish it had a clean white version.
3347,I was thinking about getting the midnight black but I weirdly feel that macbooks aren't meant to be that colour (does that even make sense?) my vote goes to starlight
3348,@Kiron Kabir i don't really think it's supposed to be a throwback. instead
3349,They did sell a black MacBook
3350,Dirty lens is killing me
3351,"I know they ship in July, but does anybody know when about? I have a trip coming up to a non-sales tax state early July and would love to take advantage.

If I can't get the M2 then, I'll just beef up the M1 Air for work and call it a day. Thoughts?,1,Vindaloo,2022-06-09T03:13:21Z,0,0.0,0.4499999999999999,0.3;;"
3352,It�s like the pixel slate color then?
3353,Looks not thinner than previous version. Apple design really preferred practice than design. I think the part of reason Jony leave Apple is that he could agree the new design and don't have power to change it. Love previous design. Apple is not Apple anymoew.
3354,Only 1 display? wtf?!
3355,Wow
3356,Clean your sensor/lens Marcques! It's distracting. Anyway good content as always
3357,midnight MacBook air gets my vote ????
3358,Midnight
3359,3:09 that�s because �Midnight� is a shade of blue and not black. For those who aren�t artist
3360,2 Thunderbolt Ports?!
3361,"I HATE how Apple have gimped the Air to only run one external display.  I know it's to push users into the MB Pro, but I trialled an Air to replace my ~8 year old MB Pro, and as much as I loved the smaller/lighter/thinner, I use my 15"" laptop screen as my in front screen, and pair it with a larger monitor off to the side.  And regularly run a second external display too.  The Air (for me) makes too small of a main screen, and being limited to one larger one was a deal breaker for me.,0,Mububban23,2022-06-09T03:10:03Z,0,0.0,0.3887010425471964,-0.0119047619047619;;"
3362,My thoughts exactly when I compared Air and Pro. Pro is still in Retina while Air is in Liquid Retina already. Not to mention the camera as well.
3363,definitely Space gray
3364,need to clean the lens hahaha
3365,My carbon X1 G9 weights 2
3366,"Fingerprints can be cleaned... I'm more concerned about scuff marks being more prominent. Any experience of the Apple Watch midnight colour chipping/scuffing?

 I think as a reviewer you should get Midnight as it's the new colour and could do with a long-term review - we know how silver and space grey will hold up,1,Bloq,2022-06-09T03:07:57Z,0,0.0,0.510909090909091,0.3172727272727272;;"
3367,Space grey all the way.
3368,Pro doesnt have a notch
3369,I don't really get all the hype over magsafe
3370,Space grey
3371,they're going to Air direction
3372,SD card slot missing
3373,Even you can see in the clips
3374,I love the midnight color but I�d probably get the starlight color. Too bad the pros don�t ever get all the extra colors.
3375,@V P Yes
3376,@jdmasfuck I'm also still on a 2015 MBP right now. Still more than fast enough for me. I would take an Air for now if I had the money to switch. Love them.
3377,@Martijn van Gammeren yeah same..air is more than enough power for my basic use .. wish they made the apple logo glow again. i like it on my macbook pro 2015
3378,@jdmasfuck probably indeed. But the Air is for me the product that you want to be a bit silly with. I would have loved the green/red/yellow
3379,Yes! I want a MacBook Pro in cobalt blue or Project Red. Pros are probably video producers or musicians
3380,its marketing.. they will have colors later on the pros lol
3381,I'm sad that the new airs don't have the colours of the redisinged iMacs
3382,if the m2 pro 14 and 16 inch ones don't get midnight and starlight that will be so sad lol. The number of guys who would have went m2 pro 14 inch and will take an air instead lol
3383,Can the air do like  hardcore gaming Can you play like the citizen?
3384,thanks for reminding the fingerprint issue in midnight
3385,I thought my display had black dot ?? then camera change then realized it was lenses dust
3386,15 million subs with the production quality of a small channel.
3387,Starlight all the way!
3388,still not getting use to the notch
3389,So Midnight is just like the original Black MacBook with fingerprints... ??
3390,"Anyone know if the M2 Air now has native support for multiple external displays (without using a DisplayLink adapter)?

Edit: NVM, looks like it doesn't. :(,0,d3Xt3r,2022-06-09T03:04:08Z,0,0.0,0.3666666666666667,-0.25;;"
3391,"someone should make a clear ""skin"" for the midnight etc!,1,Matthew M,2022-06-09T03:03:56Z,0,0.0,0.3833333333333333,0.125;;"
3392,apple need work on its keyboard.
3393,Does anybody know why they didnt think out the bezels on the new 13 pro?
3394,Midnight
3395,I think u should get the starlight ones.... That'll be cool.... ????????
3396,Why can it only support one extra display? This is poor decision making on Apple. Hopefully this isn�t a hardware issue and can be fixed with a software update. I just want to connect two 4k external displays
3397,I still prefer the older MacBook Air
3398,Idiot notch design
3399,starlight color
3400,Dusts on the sensor of a $25
3401,I can�t believe they announced the M2 and still didn�t announce a new Mac Pro. Also i thought the inclusion of the 13� was weird. It feels almost desperate?
3402,I�m definitely getting this M2 macbook air
3403,So glad they got rid of Jonny Ives! So tired of my Intel MacPro 13-inch
3404,IMHO the 13� & 14� MacBook Pros are stupid. They should ditch them and just make the Air and 16� Pro
3405,Space Grey
3406,Thanks
3407,The notch on the new Pros and Airs is basically the one thing that makes me wait another 5 years until Apple FINALLY decides to eliminate that ugly thing. Haven't bought an iPhone since 2017 because of this
3408,To me it doesn't look as sleek as the previous design
3409,Does 256gb variant make sense in 2022 ?
3410,starlight
3411,I love the silver color of the M2 MacBook Air!
3412,SWEEEEET!
3413,This is super compelling to me on a $999 sale in the future
3414,"Waiting for the 15"" M2 Air, now that might be a nice replacement for my M1 air.,1,�rico Schmitt,2022-06-09T02:58:27Z,1,0.0,1.0,0.6;;"
3415,reminds me of the original macbook where the edges would cut into your forearm like crazy!
3416,67W
3417,Anyone know the specific 20syl track used in the intro?
3418,All the while I thought my screen has some smudges ??
3419,I wish they added the same display for the 13 pro
3420,I definitely  pick Starlight! To me the Midnight color seems more like a blue :(
3421,I have no idea why people are so hyped about it..
3422,On the price issue - if you think about how many gallons of gas you could buy for $999 a couple of years ago compared to now ... then the new M2 MBA is less than half the price of the older M1 MBA at launch.  A dollar isnt a dollar anymore.
3423,13 inch Macbook Pro is probably just a way for Apple to clear out their stock of touchbar variant hardware since they probably believe it was better than having a function row before the redesign
3424,The color trumps fingerprints.
3425,Love the midnight
3426,Get midnight
3427,Silver > everything else
3428,why don't we like silver?  its classic an clean looking.
3429,What gets even weirder is they increased the price old M1 MBA by 7k INR more than what it original launched for.
3430,silver
3431,Gold
3432,you can just put a sticker on it
3433,man they increases the price for mba m1 here @ India .
3434,only 1 external display support....seeesh!
3435,Go for midnight!
3436,Zeiss makes a great lens cleaning spray that works great on MacBook screens and aluminum. Paired with a microfiber cloth
3437,Looks like the surface laptop 3
3438,That shit charging port again
3439,Looks pretty sweet
3440,You didn�t mention one more detail in your comparison of M2 Air & M2 MBP - number of monitors you can hook up. If it�s consistent with M1
3441,Does the return of MegSafe resonate with Microsoft's insistence on Surface connect? :D
3442,Looks like a surface laptop
3443,Ayo Marques drippin with the MS Office Algerian font T-shirt ??
3444,Cool computer
3445,That notch is obviously for the upcoming Face ID for the MacBook
3446,Silver is the only acceptable colour for my MacBooks. If it doesn�t match my 2008
3447,Everything about the M2 MacBook Pro makes zero sense. I couldn�t believe what I was seeing when a saw that they left the Touch Bar on it too.
3448,Go for starlight
3449,Maybe it is Apple's strategy to make the Air seem more valued than the Pro
3450,Space grey its
